id1,id2
0,1378
0,1544
0,6092
0,7636
0,14442
1,2943
1,8359
1,10199
2,10471
2,11485
2,15572
3,8249
4,14044
5,1312
5,12968
6,767
6,2128
6,2216
6,3150
6,3509
6,4464
6,6572
6,6697
6,7296
6,7335
6,7691
6,8661
6,8981
6,9232
6,10265
6,12098
6,13655
6,13656
6,16720
6,17284
6,18121
6,18614
7,1568
7,1588
7,2019
7,2343
7,4058
7,5564
7,6242
7,8335
7,10243
7,14688
7,14754
7,14843
7,15577
7,17354
7,17955
7,18425
7,19376
8,3157
9,221
9,1456
9,7875
9,7956
9,8915
9,11186
9,12664
9,16622
9,19447
10,3224
10,3287
10,5579
10,6631
10,12126
10,14471
11,18813
12,389
12,863
12,1048
12,2617
12,9366
12,10962
12,12111
12,12597
12,17889
12,19494
13,13940
14,2501
15,4442
15,7267
15,11752
15,13441
15,17788
15,18178
16,799
16,2658
16,4032
16,4102
16,4509
16,5079
16,7980
16,8412
16,8806
16,9505
16,10133
16,10175
16,10712
16,10969
16,11658
16,11765
16,11993
16,13054
16,14010
16,15057
16,15426
16,15969
16,16169
16,16554
16,16677
16,18546
16,19124
16,19211
16,19426
17,3681
17,7104
17,7380
17,7945
17,9767
17,17000
18,1239
18,1843
18,3429
18,8165
18,9826
18,11134
18,14768
18,18928
19,4684
19,6200
19,6440
19,8396
19,9381
19,10750
19,18902
19,19056
20,17315
21,7709
21,9213
22,7307
22,18734
23,10601
24,750
24,7733
24,8129
24,16184
25,2847
26,479
26,6941
26,9443
26,12910
26,17931
27,13131
27,18575
27,19402
28,18040
29,3846
29,6794
30,9687
31,16626
32,738
33,4098
34,11762
34,16229
34,18839
35,2067
35,2337
35,2540
35,2568
35,3797
35,5993
35,6424
35,6460
35,6948
35,7543
35,8950
35,10240
35,13118
35,14101
35,14118
35,16446
35,18125
36,112
37,8093
38,9691
38,12458
38,17788
38,19137
39,3337
40,1321
40,5058
40,9998
40,15125
40,15698
40,16125
40,16457
40,18821
41,357
41,15735
41,18572
41,18765
42,4476
43,5805
44,4717
45,15577
46,2201
46,2623
46,5225
46,5974
46,7922
46,8932
46,11450
46,12443
46,13646
46,16763
46,16879
47,95
47,677
47,2177
47,2482
47,3011
47,3617
47,4024
47,4129
47,4864
47,5427
47,6605
47,6833
47,7110
47,7891
47,8262
47,10575
47,10635
47,12413
47,12708
47,13009
47,13180
47,13310
47,13475
47,14415
47,15007
47,15435
47,15641
47,16242
47,16384
47,17917
47,18166
48,2120
48,2645
48,2902
48,4751
48,6077
48,6347
48,8104
48,8708
48,9409
48,9830
48,11084
48,12102
48,12308
48,15114
48,16528
48,17649
48,18870
48,18903
49,5793
49,15654
50,3079
51,14187
52,5515
53,6509
54,5242
54,9280
54,10544
54,13957
54,15736
54,18737
55,2812
55,3602
56,7056
57,101
57,2897
57,13475
58,2894
58,3538
58,4036
58,5982
58,11650
58,12693
58,17090
59,10344
59,10793
59,10893
60,144
60,1025
60,1205
60,1521
60,2321
60,2346
60,2571
60,3127
60,3443
60,4118
60,6152
60,6555
60,7176
60,7185
60,7830
60,9365
60,11110
60,13828
60,14421
60,14704
60,15029
60,15167
60,17327
60,18831
60,19148
61,443
62,462
62,773
62,1584
62,1786
62,2255
62,3453
62,4085
62,4750
62,6358
62,6452
62,6715
62,6789
62,9794
62,10513
62,10523
62,11450
62,11894
62,12836
62,15612
62,16814
62,18162
62,19249
63,2295
64,2845
64,9993
65,5640
65,12257
65,12664
66,4678
67,6174
67,11809
68,12229
69,3135
69,6903
69,8561
69,9256
69,14940
69,16344
69,18946
70,14622
71,7821
71,10160
71,12110
72,755
72,1281
72,7832
72,14044
72,14045
73,17128
74,2997
75,11468
76,2590
76,3273
76,9061
77,518
77,1730
77,4316
77,6686
77,7496
77,12848
77,14827
77,15971
77,17073
78,15546
79,2092
79,17474
80,13010
80,13118
80,14370
81,11238
81,12173
82,4058
83,1989
83,15468
84,3331
84,11473
84,16462
85,3607
85,6407
85,9193
85,13337
85,14123
85,18760
85,18770
86,1683
86,4045
86,8392
86,11641
86,14618
86,15744
87,18728
88,2229
88,3493
88,4058
88,5926
88,11894
88,13306
88,13354
88,14607
88,14754
88,15377
88,15916
88,16505
88,16579
88,16772
89,5226
90,1183
